GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,step,s_step
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,70,0.003088
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,71,0.003087
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,72,0.003094
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,73,0.003099
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,74,0.003102
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,75,0.003103
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,76,0.003107
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,77,0.003114
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,78,0.003109
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,79,0.003105
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,80,0.003125
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,81,0.003107
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,82,0.003113
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,83,0.003111
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,106480,22.000000,2.000000,1,0,10.000000,84,0.003113
