GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1826132,77.000000,2.000000,4.000000,783.133077,0.000000,3.613878,0.000000,0.000000,0.018045,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1972156,79.000000,2.000000,4.000000,784.628235,0.000000,3.929886,0.000000,0.000000,0.019619,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,10648,22.000000,2.000000,1.000000,181.066284,0.009333,0.071589,0.000000,0.000000,0.000334,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,19683,27.000000,2.000000,1.000000,168.547836,0.009000,0.072465,0.000000,0.000000,0.000333,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,21296,22.000000,2.000000,2.000000,361.599569,0.009000,0.104763,0.000000,0.000000,0.000492,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,29791,31.000000,2.000000,1.000000,173.234187,0.009333,0.080368,0.000000,0.000000,0.000364,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,31944,22.000000,2.000000,3.000000,543.622253,0.009000,0.134235,0.000000,0.000000,0.000641,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,39304,34.000000,2.000000,1.000000,190.968165,0.009000,0.081869,0.000000,0.000000,0.000381,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,39366,27.000000,2.000000,2.000000,338.339427,0.009000,0.101226,0.000000,0.000000,0.000482,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,42592,22.000000,2.000000,4.000000,725.164164,0.009000,0.162723,0.000000,0.000000,0.000788,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,50653,37.000000,2.000000,1.000000,178.532242,0.009333,0.082616,0.000000,0.000000,0.000384,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59049,27.000000,2.000000,3.000000,507.241648,0.009000,0.128848,0.000000,0.000000,0.000620,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59319,39.000000,2.000000,1.000000,180.321116,0.009000,0.082662,0.000000,0.000000,0.000382,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59582,31.000000,2.000000,2.000000,346.719269,0.009000,0.106544,0.000000,0.000000,0.000500,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,68921,41.000000,2.000000,1.000000,181.674138,0.009333,0.083174,0.000000,0.000000,0.000392,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,78608,34.000000,2.000000,2.000000,381.408132,0.008667,0.150628,0.000000,0.000000,0.000726,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,78732,27.000000,2.000000,4.000000,678.367350,0.009000,0.217884,0.000000,0.000000,0.001063,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,79507,43.000000,2.000000,1.000000,182.616608,0.010000,0.103210,0.000000,0.000000,0.000490,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,89373,31.000000,2.000000,3.000000,520.849467,0.010000,0.186502,0.000000,0.000000,0.000906,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,91125,45.000000,2.000000,1.000000,184.291758,0.009000,0.103116,0.000000,0.000000,0.000488,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207535,0.008333,0.105611,0.000000,0.000000,0.000502,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,101306,37.000000,2.000000,2.000000,358.023081,0.008333,0.151816,0.000000,0.000000,0.000733,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,117912,34.000000,2.000000,3.000000,573.043783,0.009667,0.204912,0.000000,0.000000,0.000990,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,118638,39.000000,2.000000,2.000000,361.459127,0.009667,0.156678,0.000000,0.000000,0.000751,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,119164,31.000000,2.000000,4.000000,696.617330,0.009333,0.237287,0.000000,0.000000,0.001160,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,137842,41.000000,2.000000,2.000000,363.708272,0.009000,0.163679,0.000000,0.000000,0.000788,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,148877,53.000000,2.000000,1.000000,187.726130,0.009000,0.143370,0.000000,0.000000,0.000688,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,151959,37.000000,2.000000,3.000000,538.303589,0.009333,0.264837,0.000000,0.000000,0.001296,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,157216,34.000000,2.000000,4.000000,765.436483,0.009000,0.342674,0.000000,0.000000,0.001686,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,159014,43.000000,2.000000,2.000000,366.325653,0.009333,0.212639,0.000000,0.000000,0.001039,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,177957,39.000000,2.000000,3.000000,542.907125,0.009000,0.285685,0.000000,0.000000,0.001392,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,182250,45.000000,2.000000,2.000000,368.379140,0.009333,0.206320,0.000000,0.000000,0.001007,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,194672,46.000000,2.000000,2.000000,392.133128,0.009000,0.220428,0.000000,0.000000,0.001071,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,195112,58.000000,2.000000,1.000000,198.959498,0.009000,0.155889,0.000000,0.000000,0.000755,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,202612,37.000000,2.000000,4.000000,718.385213,0.009000,0.361218,0.000000,0.000000,0.001773,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,206763,41.000000,2.000000,3.000000,546.301453,0.009000,0.298055,0.000000,0.000000,0.001464,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,237276,39.000000,2.000000,4.000000,724.983276,0.009667,0.429205,0.000000,0.000000,0.002119,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,238521,43.000000,2.000000,3.000000,550.330933,0.009000,0.353135,0.000000,0.000000,0.001737,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,250047,63.000000,2.000000,1.000000,191.353343,0.009000,0.171927,0.000000,0.000000,0.000833,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,273375,45.000000,2.000000,3.000000,553.724589,0.009333,0.352415,0.000000,0.000000,0.001725,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,275684,41.000000,2.000000,4.000000,729.369812,0.009667,0.450278,0.000000,0.000000,0.002225,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,292008,46.000000,2.000000,3.000000,589.240438,0.009000,0.408775,0.000000,0.000000,0.002019,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,297754,53.000000,2.000000,2.000000,375.539876,0.009333,0.324131,0.000000,0.000000,0.001591,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,300763,67.000000,2.000000,1.000000,192.584834,0.013333,0.206194,0.000000,0.000000,0.001004,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,318028,43.000000,2.000000,4.000000,734.773885,0.010333,0.541530,0.000000,0.000000,0.002677,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,343000,70.000000,2.000000,1.000000,201.390686,0.010333,0.250751,0.000000,0.000000,0.001223,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,364500,45.000000,2.000000,4.000000,739.613342,0.009333,0.590589,0.000000,0.000000,0.002919,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,389344,46.000000,2.000000,4.000000,787.328166,0.010000,0.634030,0.000000,0.000000,0.003139,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,390224,58.000000,2.000000,2.000000,398.713491,0.010333,0.395213,0.000000,0.000000,0.001952,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,405224,74.000000,2.000000,1.000000,202.003108,0.009333,0.283832,0.000000,0.000000,0.001391,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,446631,53.000000,2.000000,3.000000,564.840373,0.010667,0.591275,0.000000,0.000000,0.002932,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,456533,77.000000,2.000000,1.000000,194.915527,0.009333,0.340265,0.000000,0.000000,0.001665,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,493039,79.000000,2.000000,1.000000,195.315430,0.010667,0.303213,0.000000,0.000000,0.001491,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,500094,63.000000,2.000000,2.000000,383.234660,0.009000,0.454718,0.000000,0.000000,0.002249,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,585336,58.000000,2.000000,3.000000,598.959697,0.009000,0.770929,0.000000,0.000000,0.003830,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,595508,53.000000,2.000000,4.000000,754.070129,0.009667,0.921982,0.000000,0.000000,0.004585,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,601526,67.000000,2.000000,2.000000,385.291331,0.009000,0.535525,0.000000,0.000000,0.002653,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,686000,70.000000,2.000000,2.000000,402.865194,0.011000,0.642942,0.000000,0.000000,0.003190,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,750141,63.000000,2.000000,3.000000,575.603251,0.009000,0.864508,0.000000,0.000000,0.004297,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,780448,58.000000,2.000000,4.000000,799.940450,0.010000,1.239441,0.000000,0.000000,0.006161,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,810448,74.000000,2.000000,2.000000,404.140849,0.009000,0.745997,0.000000,0.000000,0.003705,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,902289,67.000000,2.000000,3.000000,579.063232,0.013000,1.073097,0.000000,0.000000,0.005333,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,913066,77.000000,2.000000,2.000000,390.142812,0.009333,0.808929,0.000000,0.000000,0.004020,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,986078,79.000000,2.000000,2.000000,390.833109,0.010000,0.877595,0.000000,0.000000,0.004363,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1000188,63.000000,2.000000,4.000000,768.770121,0.009667,1.456882,0.000000,0.000000,0.007255,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1029000,70.000000,2.000000,3.000000,605.262736,0.009667,1.231868,0.000000,0.000000,0.006135,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1203052,67.000000,2.000000,4.000000,773.580445,0.009000,1.747138,0.000000,0.000000,0.008711,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1215672,74.000000,2.000000,3.000000,607.432129,0.011333,1.519558,0.000000,0.000000,0.007557,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1369599,77.000000,2.000000,3.000000,586.458415,0.009667,1.628849,0.000000,0.000000,0.008119,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1372000,70.000000,2.000000,4.000000,808.670003,0.010333,2.073086,0.000000,0.000000,0.010334,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1479117,79.000000,2.000000,3.000000,587.480692,0.009000,1.767249,0.000000,0.000000,0.008803,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1620896,74.000000,2.000000,4.000000,810.937134,0.009667,2.487201,0.000000,0.000000,0.012405,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1826132,77.000000,2.000000,4.000000,783.133118,0.010000,2.741933,0.000000,0.000000,0.013678,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,1972156,79.000000,2.000000,4.000000,784.628255,0.010000,2.970578,0.000000,0.000000,0.014826,493039.000000,2.531646
